"CASE","QUESTNNR","MODE","LANGUAGE","STARTED","VD02_01","VE02_01","VE03","VE04_01","VE05","VE06_01","VE07","Name_order","Condition_order","Binary_label_balance","CS02","DV01_FmF","DV01_ScW","DV01_ScH","DV01_QnW","lab_ID","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME_SUM","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","VD03","VD04_01","VD05","VD06_01","VD07","VG02_01","VG03","VG04_01","VG05","VG06_01","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","VG07","DF01_01","DF02_01","DF03_01","DF04_01","DF05_01","DF06_01","DF07_01","DF08_01","DF09_01","DF10_01","DF11_01","DD02","DD05","DD05_01","DD05_02","DD05_03","DD05_04","DD05_05","DD05_06","DD05_07","DD05_08","DD05_09","DD06","SF01","RC01_01","RW01","RW02","RW02_01","TIME026","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","DF12_01","DD01_01","Add_vignette_cond","XA01_01","XA02","XA03_01","XA04","XA05_01","XA06","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME046","DF13_01","DF14_01","DF15_01","DD03_01","DD04_01","RW03","TIME044","Scale_type","VE08","VD08","VD09","VD10","VG08","VG09","VG10","VE09","VE10","XB01_01","XB07","XB02","XB08","XB04","XB09","XB06","XB03_01","XB05_01","DD02_03","DD05_09a","AD03_01","UR01_01","XA07","XA08","XA09","RW02_04","RW02_03","AD01","UR01_02","Normal_vs_expertise","XC01_01","XC02","XC03_01","XC04","XC05_01","XC06","AD04","AD06","AD07","AD08","AD09","AD10","AD11","AD12","AD13","AD14","AD15","AD16","AD17","AD18","AD19","AD20","AD21","AD22","TIME047","TIME045","AD23","AD24","AD25","AD26","AD27","RW02_02","Darrel_cond","Gerald_cond","Emma_cond","TIME048","REF","AD28_01","AD28_02","AD28_03","AD28_04","AD28_05","AD28_06","isCorrect"
3570,"T2","interview","ger","2019-12-11 13:18:26",87,93,2,93,2,80,2,"GED","IGK","normal",1,1,1408,792,780,"AC1804",2,4,2,2,3,4,2,2,2,2,1,2,3,127,"2019-12-11 13:20:34",1,0,43,43,2,92,2,98,2,99,2,97,1,75,2,2,2,3,2,1,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,1,NA,3,6,6,9,NA,8,6,5,4,8,"TEST",NA,"K",NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,2,NA,"TEST",NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,2,NA,2,NA,1,80,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,NA,NA,NA,NA,NA,NA,NA,0
3587,"T2","interview","ger","2019-12-11 13:39:32",97,96,1,76,2,75,1,"DEG","GKI","swapped",1,1,1408,792,780,"AC1804",2,4,1,2,2,3,2,2,3,2,1,1,2,134,"2019-12-11 13:41:47",1,0,43,43,1,82,2,80,1,101,1,101,2,68,3,2,2,2,2,2,1,3,2,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,4,NA,2,6,5,7,NA,7,5,5,14,15,"TEST",NA,"G",NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,2,NA,"TEST",NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,1,NA,1,NA,1,89,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","I","K",NA,NA,NA,NA,NA,NA,NA,NA,0
3677,"T2","interview","ger","2019-12-11 19:58:46",NA,NA,NA,NA,NA,NA,NA,"EGD","IGK","swapped",1,1,1408,792,780,"AC1804",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"2019-12-11 19:58:53",0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,NA,NA,NA,NA,NA,NA,NA,NA
3694,"T2","admin","ger","2019-12-11 22:30:19",NA,NA,NA,NA,NA,NA,NA,"DGE","GIK","swapped",1,1,1320,825,780,"AC1804",6,6,1,1,1,2,1,1,1,2,2,2,7,110,"2019-12-11 22:32:09",1,0,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,25,9,1,3,3,NA,NA,"G",NA,NA,NA,NA,NA,NA,3,3,1,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","I","K",NA,NA,NA,NA,NA,NA,NA,NA,NA
4327,"T2","interview","ger","2019-12-16 14:41:47",101,44,1,1,1,13,1,"EDG","GIK","normal",1,1,1366,768,780,"AC1804",486,11,4,35,14,6,10,7,12,16,1,33,8,578,"2019-12-16 14:59:15",1,0,43,43,2,85,2,1,1,79,1,1,1,1,3,7,5,4,6,2,2,16,2,8,6,6,1,7,9,2,5,6,1,4,9,1,3,2,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,2,4,NA,3,17,20,37,NA,150,24,22,4,9,NA,"19","I",NA,NA,NA,NA,NA,NA,1,11,6,4,8,4,7,11,NA,"Durch aufmerksames Lesen und im diesen Falle, durch die richtige Definition von Wissen und Glauben, diese Fragen beantworten zu  können.","Die Texte waren gut leserlich und man konnte darauf absierend die folgenden Fragen beantworten","ich habe schon einmal genau an der gleichen Studie teilgenommen","Deutschland","Deutschland ",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,1,NA,1,NA,1,29,1,NA,NA,NA,"1",NA,NA,NA,"Süßigkeiten",NA,NA,"0","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc2",NA,NA,NA,NA,NA,NA,1
4328,"T2","interview","ger","2019-12-16 14:41:52",1,25,2,5,2,13,2,"DEG","IGK","normal",1,1,1366,768,780,"AC1804",953,6,6,51,14,4,19,28,16,26,3,30,21,650,"2019-12-16 15:08:19",1,0,43,43,2,23,2,78,2,96,1,93,1,32,5,32,9,5,7,3,76,6,4,6,5,9,1,4,4,5,3,8,3,2,4,7,8,3,2,1,2,1,1,1,1,1,1,1,1,13,1,NA,3,NA,NA,5,37,28,45,NA,17,29,11,6,13,NA,"25","I",NA,NA,NA,NA,NA,NA,1,22,7,4,3,7,4,4,NA,NA,NA,"Nein","Kassel","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,NA,2,NA,2,27,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I","K","G",NA,"pc3",NA,NA,NA,NA,NA,NA,0
4329,"T2","interview","ger","2019-12-16 14:41:56",88,1,2,101,2,80,2,"EGD","IGK","swapped",1,1,1366,768,780,"AC1804",582,9,7,43,49,6,12,13,33,32,3,60,15,1068,"2019-12-16 15:09:10",1,0,43,43,1,89,1,1,1,1,1,83,1,101,7,18,15,10,11,2,49,21,6,8,6,15,2,3,9,5,7,8,2,4,3,2,3,3,1,2,2,1,1,1,1,1,1,1,2,12,1,NA,2,NA,NA,15,47,27,49,NA,256,47,22,7,19,NA,"19","K",NA,NA,NA,NA,NA,NA,4,40,12,12,10,6,19,10,NA,"Ich bin mir unsicher, allerdings vermute ich, dass es etwas mit der Un-/wahrheit im täglichen Sprachgebrauch zu tun hat; inwiefern man Unwissen von Wissen unterscheiden kann und inwiefern es ""legitim"" ist, etwas zu behaupten, ohne essenzielle und überzeugende Argumente zu haben. ","- einfach zu lesen und zu verstehen
- teilweise mit irrelevanten Details ausgeschmückt",NA,"Deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,1,NA,1,NA,2,88,35,NA,"Osteuropa",NA,"1",NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,"pc1",NA,NA,NA,NA,NA,NA,1
4330,"T2","interview","ger","2019-12-16 14:42:08",101,19,2,74,2,7,2,"EDG","GKI","normal",1,1,1366,768,780,"AC1804",1173,7,4,22,24,5,29,8,15,16,3,28,8,495,"2019-12-16 15:09:40",1,0,43,43,1,101,1,22,1,1,2,101,2,101,3,7,5,15,8,5,29,13,3,6,3,8,2,2,8,9,4,3,2,7,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,12,1,NA,3,NA,NA,4,22,18,34,NA,9,29,9,6,7,NA,"20","K",NA,NA,NA,NA,NA,NA,3,28,5,3,5,3,13,7,NA,NA,NA,NA,"Deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,1,NA,1,NA,1,101,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","I","G",NA,"pc8",NA,NA,NA,NA,NA,NA,0
4331,"T2","interview","ger","2019-12-16 14:42:14",20,16,2,73,1,22,2,"EGD","IGK","normal",1,1,1366,768,780,"AC1804",1113,11,6,32,21,6,9,6,14,5,4,58,6,618,"2019-12-16 15:10:49",1,0,42,42,1,71,1,29,1,16,1,72,1,30,6,11,7,13,6,3,87,12,3,6,6,8,1,5,9,3,2,3,7,6,5,4,5,3,2,2,2,1,2,1,1,1,1,1,1,13,2,NA,1,NA,NA,12,21,27,42,NA,11,39,22,9,NA,NA,"19","K",NA,NA,NA,NA,NA,NA,5,38,4,4,4,4,6,8,NA,NA,NA,NA,"Deutschland","Peru",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,1,NA,1,NA,1,75,24,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","G","I",NA,"pc7",NA,NA,NA,NA,NA,NA,1
4332,"T2","interview","ger","2019-12-16 14:42:17",15,25,1,76,1,20,2,"GDE","IGK","normal",1,1,1366,768,780,"AC1804",1434,12,6,62,16,4,24,8,16,22,3,51,11,630,"2019-12-16 15:16:26",1,0,43,43,1,73,1,72,2,96,1,23,2,2,4,11,5,14,8,2,32,6,6,18,3,10,1,3,8,7,7,8,3,7,3,3,4,3,2,1,2,1,1,1,1,1,1,1,1,12,2,NA,2,4,NA,4,23,20,32,NA,42,35,9,7,12,"...","25","G",NA,NA,NA,NA,NA,NA,1,35,9,4,8,5,11,3,NA,"Verständnis der deutschen Sprache","...","Nein","Deutschland","Deutschland",NA,NA,"vas",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,NA,1,NA,2,84,14,NA,NA,NA,NA,NA,NA,NA,"Süßigkeiten",NA,NA,"1","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","I","K",NA,"pc6",NA,NA,NA,NA,NA,NA,0
